Id	Partida	Solicitud	SP_Activo_Final	Valor_SP_Final	PV_Final	MateriaPrima	Equipo	Local_Timestamp	Time_Stamp	TimeStampDb
23050	NULL	2	SP Receta R131	1100,98779	1287,89087	Soda	R131	2024-10-22 14:20:00.000	2024-10-22 19:20:00.000	2024-11-26 23:46:54.200
23097	NULL	2	SP Semi TK131	662,6791	2500,01733	Soda	TK131	2024-10-22 14:46:00.000	2024-10-22 19:46:00.000	2024-11-26 23:46:54.200
23710	NULL	2	SP Receta V115	640,935059	652,429138	Metil	V115	2024-10-22 19:24:00.000	2024-10-23 00:24:00.000	2024-11-26 23:46:54.347
23801	NULL	2	SP Receta V115	601,3694	596,437439	Estireno	V115	2024-10-22 19:28:00.000	2024-10-23 00:28:00.000	2024-11-26 23:46:54.347
23532	NULL	2	SP Receta V115	245,027924	247,265625	Butil	V115	2024-10-22 19:34:00.000	2024-10-23 00:34:00.000	2024-11-26 23:46:54.280
23187	NULL	2	SP Receta R111	782,9708	770,5441	Xilol	R111	2024-10-22 20:05:00.000	2024-10-23 01:05:00.000	2024-11-26 23:46:54.200
23595	NULL	2	SP Receta V241	2018,83826	2291,15381	Butil	V241	2024-10-22 20:09:00.000	2024-10-23 01:09:00.000	2024-11-26 23:46:54.347
23478	NULL	2	SP Receta V241	4663,658	4448,63965	Vam	V241	2024-10-22 20:24:00.000	2024-10-23 01:24:00.000	2024-11-26 23:46:54.280
23188	NULL	4	SP Semi R111	40,05612	39,98499	Xilol	R111	2024-10-22 21:09:00.000	2024-10-23 02:09:00.000	2024-11-26 23:46:54.200
23051	NULL	4	SP Receta R131	1086,9436	1287,47632	Soda	R131	2024-10-22 21:21:00.000	2024-10-23 02:21:00.000	2024-11-26 23:46:54.200
23098	NULL	4	SP Semi TK131	574,9688	655,0099	Soda	TK131	2024-10-22 22:45:00.000	2024-10-23 03:45:00.000	2024-11-26 23:46:54.200
23685	NULL	2	SP Receta D122	572,9936	577,7186	Ethil	D122	2024-10-22 23:02:00.000	2024-10-23 04:02:00.000	2024-11-26 23:46:54.347
23219	NULL	2	SP Receta V115	189,613373	188,745361	Xilol	V115	2024-10-23 01:32:00.000	2024-10-23 06:32:00.000	2024-11-26 23:46:54.200
23711	NULL	4	SP Receta V115	565,100952	575,4555	Metil	V115	2024-10-23 02:25:00.000	2024-10-23 07:25:00.000	2024-11-26 23:46:54.347
23802	NULL	4	SP Receta V115	328,306641	327,40976	Estireno	V115	2024-10-23 02:29:00.000	2024-10-23 07:29:00.000	2024-11-26 23:46:54.347
23533	NULL	4	SP Receta V115	381,994934	385,019226	Butil	V115	2024-10-23 02:32:00.000	2024-10-23 07:32:00.000	2024-11-26 23:46:54.280
23596	NULL	4	SP Receta V241	1941,25342	2292,392	Butil	V241	2024-10-23 02:53:00.000	2024-10-23 07:53:00.000	2024-11-26 23:46:54.347
23177	NULL	2	SP Semi TK221	295	295,028961	Soda	TK221	2024-10-23 03:04:00.000	2024-10-23 08:04:00.000	2024-11-26 23:46:54.200
23479	NULL	4	SP Receta V241	4722,85449	4443,22754	Vam	V241	2024-10-23 03:07:00.000	2024-10-23 08:07:00.000	2024-11-26 23:46:54.280
23189	NULL	6	SP Semi R111	269,965424	263,285461	Xilol	R111	2024-10-23 03:44:00.000	2024-10-23 08:44:00.000	2024-11-26 23:46:54.200
23190	NULL	8	SP Receta R111	717,9137	717,097168	Xilol	R111	2024-10-23 04:23:00.000	2024-10-23 09:23:00.000	2024-11-26 23:46:54.200
23052	NULL	6	SP Receta R131	1070,76453	1287,8894	Soda	R131	2024-10-23 05:26:00.000	2024-10-23 10:26:00.000	2024-11-26 23:46:54.200
23099	NULL	6	SP Semi TK131	654,9984	655,018738	Soda	TK131	2024-10-23 06:55:00.000	2024-10-23 11:55:00.000	2024-11-26 23:46:54.200
23359	NULL	2	SP Semi V221	20,9891548	21,7844238	Toluol	V221	2024-10-23 08:52:00.000	2024-10-23 13:52:00.000	2024-11-26 23:46:54.280
23686	NULL	4	SP Receta D122	567,3768	578,0763	Ethil	D122	2024-10-23 08:58:00.000	2024-10-23 13:58:00.000	2024-11-26 23:46:54.347
23712	NULL	6	SP Receta V115	578,752441	578,1178	Metil	V115	2024-10-23 09:42:00.000	2024-10-23 14:42:00.000	2024-11-26 23:46:54.347
23803	NULL	6	SP Receta V115	377,4425	327,6676	Estireno	V115	2024-10-23 09:46:00.000	2024-10-23 14:46:00.000	2024-11-26 23:46:54.347
23534	NULL	6	SP Receta V115	357,208984	385,0077	Butil	V115	2024-10-23 09:50:00.000	2024-10-23 14:50:00.000	2024-11-26 23:46:54.280
23597	NULL	6	SP Receta V241	1877,35059	1858,284	Butil	V241	2024-10-23 09:57:00.000	2024-10-23 14:57:00.000	2024-11-26 23:46:54.347
23480	NULL	6	SP Receta V241	4781,98047	4774,55664	Vam	V241	2024-10-23 10:08:00.000	2024-10-23 15:08:00.000	2024-11-26 23:46:54.280
23360	NULL	4	SP Semi V221	39,0263519	36,3276367	Toluol	V221	2024-10-23 10:15:00.000	2024-10-23 15:15:00.000	2024-11-26 23:46:54.280
23405	NULL	2	SP Receta V141	4344,78857	6,281006	2EHA	V141	2024-10-23 10:26:00.000	2024-10-23 15:26:00.000	2024-11-26 23:46:54.280
23191	NULL	10	SP Receta R111	18,477314	17,8727036	Xilol	R111	2024-10-23 10:30:00.000	2024-10-23 15:30:00.000	2024-11-26 23:46:54.200
23406	NULL	4	SP Receta V141	4343,42139	4350,21	2EHA	V141	2024-10-23 10:31:00.000	2024-10-23 15:31:00.000	2024-11-26 23:46:54.280
23735	NULL	2	SP Receta V141	996,948669	998,3379	Metil	V141	2024-10-23 10:58:00.000	2024-10-23 15:58:00.000	2024-11-26 23:46:54.347
23192	NULL	12	SP Semi R111	250,02211	249,805237	Xilol	R111	2024-10-23 11:59:00.000	2024-10-23 16:59:00.000	2024-11-26 23:46:54.200
23193	NULL	14	SP Receta R111	717,335266	716,445862	Xilol	R111	2024-10-23 13:00:00.000	2024-10-23 18:00:00.000	2024-11-26 23:46:54.200
23779	NULL	2	SP Receta V221	971	970,9279	Metil	V221	2024-10-23 15:29:00.000	2024-10-23 20:29:00.000	2024-11-26 23:46:54.347
23407	NULL	6	SP Receta V141	4230,499	4350,209	2EHA	V141	2024-10-23 17:24:00.000	2024-10-23 22:24:00.000	2024-11-26 23:46:54.280
23687	NULL	6	SP Receta D122	562,5893	577,4469	Ethil	D122	2024-10-23 17:26:00.000	2024-10-23 22:26:00.000	2024-11-26 23:46:54.347
23736	NULL	4	SP Receta V141	969,2289	1004,22754	Metil	V141	2024-10-23 17:51:00.000	2024-10-23 22:51:00.000	2024-11-26 23:46:54.347
23713	NULL	8	SP Receta V115	594,6219	578,9713	Metil	V115	2024-10-23 18:11:00.000	2024-10-23 23:11:00.000	2024-11-26 23:46:54.347
23804	NULL	8	SP Receta V115	434,561523	327,787872	Estireno	V115	2024-10-23 18:14:00.000	2024-10-23 23:14:00.000	2024-11-26 23:46:54.347
23535	NULL	8	SP Receta V115	328,461823	385,235657	Butil	V115	2024-10-23 18:18:00.000	2024-10-23 23:18:00.000	2024-11-26 23:46:54.280
23100	NULL	8	SP Semi TK131	653,2082	655,017334	Soda	TK131	2024-10-23 18:39:00.000	2024-10-23 23:39:00.000	2024-11-26 23:46:54.200
23754	NULL	2	SP Receta V241	3171,79419	3174,20361	Metil	V241	2024-10-23 20:10:00.000	2024-10-24 01:10:00.000	2024-11-26 23:46:54.347
23598	NULL	8	SP Receta V241	2916,28345	2864,85034	Butil	V241	2024-10-23 20:29:00.000	2024-10-24 01:29:00.000	2024-11-26 23:46:54.347
23194	NULL	16	SP Semi R111	260,296021	246,729111	Xilol	R111	2024-10-23 20:38:00.000	2024-10-24 01:38:00.000	2024-11-26 23:46:54.200
23195	NULL	18	SP Receta R111	717,600952	716,856262	Xilol	R111	2024-10-23 21:06:00.000	2024-10-24 02:06:00.000	2024-11-26 23:46:54.200
23283	NULL	2	SP Receta R221	1603,436	1603,59131	Toluol	R221	2024-10-23 22:49:00.000	2024-10-24 03:49:00.000	2024-11-26 23:46:54.200
23284	NULL	4	SP Semi R221	69,96809	69,51201	Toluol	R221	2024-10-23 23:17:00.000	2024-10-24 04:17:00.000	2024-11-26 23:46:54.200
23408	NULL	8	SP Receta V141	4104,72559	4348,05	2EHA	V141	2024-10-24 01:04:00.000	2024-10-24 06:04:00.000	2024-11-26 23:46:54.280
23737	NULL	6	SP Receta V141	938,3545	1000,69336	Metil	V141	2024-10-24 01:31:00.000	2024-10-24 06:31:00.000	2024-11-26 23:46:54.347
23220	NULL	4	SP Receta V115	91,73795	89,86562	Xilol	V115	2024-10-24 02:03:00.000	2024-10-24 07:03:00.000	2024-11-26 23:46:54.200
23714	NULL	10	SP Receta V115	610,116455	577,680664	Metil	V115	2024-10-24 02:26:00.000	2024-10-24 07:26:00.000	2024-11-26 23:46:54.347
23361	NULL	6	SP Receta V221	700,4349	701,908569	Toluol	V221	2024-10-24 02:28:00.000	2024-10-24 07:28:00.000	2024-11-26 23:46:54.280
23805	NULL	10	SP Receta V115	490,331268	327,4847	Estireno	V115	2024-10-24 02:30:00.000	2024-10-24 07:30:00.000	2024-11-26 23:46:54.347
23536	NULL	10	SP Receta V115	300,4503	384,85376	Butil	V115	2024-10-24 02:33:00.000	2024-10-24 07:33:00.000	2024-11-26 23:46:54.280
23221	NULL	6	SP Receta V115	50,0213242	49,786705	Xilol	V115	2024-10-24 02:39:00.000	2024-10-24 07:39:00.000	2024-11-26 23:46:54.200
23285	NULL	6	SP Receta R221	5,05102	4,87576962	Toluol	R221	2024-10-24 02:39:00.000	2024-10-24 07:39:00.000	2024-11-26 23:46:54.200
23196	NULL	20	SP Receta R111	18,69528	17,9161263	Xilol	R111	2024-10-24 03:14:00.000	2024-10-24 08:14:00.000	2024-11-26 23:46:54.200
23362	NULL	8	SP Receta V221	342,636078	349,463379	Toluol	V221	2024-10-24 03:28:00.000	2024-10-24 08:28:00.000	2024-11-26 23:46:54.280
23780	NULL	4	SP Receta V221	966,8157	966,972534	Metil	V221	2024-10-24 04:16:00.000	2024-10-24 09:16:00.000	2024-11-26 23:46:54.347
23197	NULL	22	SP Semi R111	269,9675	265,923248	Xilol	R111	2024-10-24 04:49:00.000	2024-10-24 09:49:00.000	2024-11-26 23:46:54.200
23198	NULL	24	SP Receta R111	716,779541	718,041	Xilol	R111	2024-10-24 05:11:00.000	2024-10-24 10:11:00.000	2024-11-26 23:46:54.200
23599	NULL	10	SP Receta V241	4499,336	4500,14355	Butil	V241	2024-10-24 05:36:00.000	2024-10-24 10:36:00.000	2024-11-26 23:46:54.347
23053	NULL	8	SP Receta R131	1022,06024	1287,87268	Soda	R131	2024-10-24 05:46:00.000	2024-10-24 10:46:00.000	2024-11-26 23:46:54.200
23849	NULL	2	SP Receta V241	1956,51135	1948,32007	Estireno	V241	2024-10-24 06:03:00.000	2024-10-24 11:03:00.000	2024-11-26 23:46:54.400
23286	NULL	8	SP Receta R221	359,4268	359,906677	Toluol	R221	2024-10-24 06:22:00.000	2024-10-24 11:22:00.000	2024-11-26 23:46:54.200
23287	NULL	10	SP Receta R221	2042,26355	2043,93616	Toluol	R221	2024-10-24 06:57:00.000	2024-10-24 11:57:00.000	2024-11-26 23:46:54.200
23395	NULL	2	SP Semi TK221	219,192078	249,96965	Toluol	TK221	2024-10-24 08:31:00.000	2024-10-24 13:31:00.000	2024-11-26 23:46:54.280
23222	NULL	8	SP Receta V115	91,94052	91,79129	Xilol	V115	2024-10-24 10:08:00.000	2024-10-24 15:08:00.000	2024-11-26 23:46:54.200
23409	NULL	10	SP Receta V141	3952,157	4350,40625	2EHA	V141	2024-10-24 10:22:00.000	2024-10-24 15:22:00.000	2024-11-26 23:46:54.280
23715	NULL	12	SP Receta V115	624,954956	576,124451	Metil	V115	2024-10-24 10:22:00.000	2024-10-24 15:22:00.000	2024-11-26 23:46:54.347
23806	NULL	12	SP Receta V115	543,852234	327,458069	Estireno	V115	2024-10-24 10:26:00.000	2024-10-24 15:26:00.000	2024-11-26 23:46:54.347
23537	NULL	12	SP Receta V115	273,513977	384,956665	Butil	V115	2024-10-24 10:29:00.000	2024-10-24 15:29:00.000	2024-11-26 23:46:54.280
23363	NULL	10	SP Receta V221	259,731049	250,885925	Toluol	V221	2024-10-24 10:42:00.000	2024-10-24 15:42:00.000	2024-11-26 23:46:54.280
23738	NULL	8	SP Receta V141	900,835449	999,319336	Metil	V141	2024-10-24 10:50:00.000	2024-10-24 15:50:00.000	2024-11-26 23:46:54.347
23364	NULL	12	SP Receta V221	330,101654	331,512573	Toluol	V221	2024-10-24 11:15:00.000	2024-10-24 16:15:00.000	2024-11-26 23:46:54.280
23365	NULL	14	SP Receta V221	167,91568	331,877625	Toluol	V221	2024-10-24 12:26:00.000	2024-10-24 17:26:00.000	2024-11-26 23:46:54.280
23199	NULL	26	SP Semi R111	250,066	247,461136	Xilol	R111	2024-10-24 12:56:00.000	2024-10-24 17:56:00.000	2024-11-26 23:46:54.200
23200	NULL	28	SP Receta R111	717,0288	716,1606	Xilol	R111	2024-10-24 13:38:00.000	2024-10-24 18:38:00.000	2024-11-26 23:46:54.200
23054	NULL	10	SP Receta R131	1005,21393	1287,88318	Soda	R131	2024-10-24 14:11:00.000	2024-10-24 19:11:00.000	2024-11-26 23:46:54.200
23101	NULL	10	SP Semi TK131	650,5412	649,54	Soda	TK131	2024-10-24 15:41:00.000	2024-10-24 20:41:00.000	2024-11-26 23:46:54.200
23850	NULL	4	SP Receta V241	2516,83252	2514,48071	Estireno	V241	2024-10-24 17:11:00.000	2024-10-24 22:11:00.000	2024-11-26 23:46:54.400
23435	NULL	2	SP Receta V241	2826,77368	2827,557	2EHA	V241	2024-10-24 17:28:00.000	2024-10-24 22:28:00.000	2024-11-26 23:46:54.280
23755	NULL	4	SP Receta V241	616,3753	611,9414	Metil	V241	2024-10-24 17:43:00.000	2024-10-24 22:43:00.000	2024-11-26 23:46:54.347
23223	NULL	10	SP Receta V115	92,15163	91,07209	Xilol	V115	2024-10-24 18:37:00.000	2024-10-24 23:37:00.000	2024-11-26 23:46:54.200
23716	NULL	14	SP Receta V115	640,873	653,8262	Metil	V115	2024-10-24 18:58:00.000	2024-10-24 23:58:00.000	2024-11-26 23:46:54.347
23807	NULL	14	SP Receta V115	601,467346	600,8335	Estireno	V115	2024-10-24 19:02:00.000	2024-10-25 00:02:00.000	2024-11-26 23:46:54.347
23538	NULL	14	SP Receta V115	245,169647	247,107178	Butil	V115	2024-10-24 19:08:00.000	2024-10-25 00:08:00.000	2024-11-26 23:46:54.280
23410	NULL	12	SP Receta V141	3805,60352	4351,19043	2EHA	V141	2024-10-24 19:18:00.000	2024-10-25 00:18:00.000	2024-11-26 23:46:54.280
23201	NULL	30	SP Receta R111	40,53607	16,3870182	Xilol	R111	2024-10-24 19:46:00.000	2024-10-25 00:46:00.000	2024-11-26 23:46:54.200
23739	NULL	10	SP Receta V141	864,8601	997,9453	Metil	V141	2024-10-24 19:46:00.000	2024-10-25 00:46:00.000	2024-11-26 23:46:54.347
23224	NULL	12	SP Receta V115	130,137634	129,734268	Xilol	V115	2024-10-24 20:06:00.000	2024-10-25 01:06:00.000	2024-11-26 23:46:54.200
23202	NULL	32	SP Semi R111	283,457031	243,048	Xilol	R111	2024-10-24 21:44:00.000	2024-10-25 02:44:00.000	2024-11-26 23:46:54.200
23203	NULL	34	SP Receta R111	783,300964	782,1291	Xilol	R111	2024-10-24 22:17:00.000	2024-10-25 03:17:00.000	2024-11-26 23:46:54.200
23055	NULL	12	SP Receta R131	988,6011	1287,87048	Soda	R131	2024-10-24 22:29:00.000	2024-10-25 03:29:00.000	2024-11-26 23:46:54.200
23102	NULL	12	SP Semi TK131	654,9316	650,015869	Soda	TK131	2024-10-24 23:51:00.000	2024-10-25 04:51:00.000	2024-11-26 23:46:54.200
23288	NULL	12	SP Semi R221	7,896267	19,9057922	Toluol	R221	2024-10-25 00:57:00.000	2024-10-25 05:57:00.000	2024-11-26 23:46:54.200
23396	NULL	4	SP Semi TK221	62,4558563	119,993484	Toluol	TK221	2024-10-25 01:00:00.000	2024-10-25 06:00:00.000	2024-11-26 23:46:54.280
23397	NULL	6	SP Semi TK221	14,525938	0	Toluol	TK221	2024-10-25 01:55:00.000	2024-10-25 06:55:00.000	2024-11-26 23:46:54.280
23851	NULL	6	SP Receta V241	2702,802	2512,30786	Estireno	V241	2024-10-25 02:03:00.000	2024-10-25 07:03:00.000	2024-11-26 23:46:54.400
23436	NULL	4	SP Receta V241	2419,92822	2825,68726	2EHA	V241	2024-10-25 02:20:00.000	2024-10-25 07:20:00.000	2024-11-26 23:46:54.280
23756	NULL	6	SP Receta V241	1328,52612	612,9746	Metil	V241	2024-10-25 02:36:00.000	2024-10-25 07:36:00.000	2024-11-26 23:46:54.347
23225	NULL	14	SP Receta V115	189,8493	189,667343	Xilol	V115	2024-10-25 03:26:00.000	2024-10-25 08:26:00.000	2024-11-26 23:46:54.200
23717	NULL	16	SP Receta V115	462,473877	473,974945	Metil	V115	2024-10-25 03:53:00.000	2024-10-25 08:53:00.000	2024-11-26 23:46:54.347
